controller,trial,seed,object_x_m,object_y_m,object_yaw_rad,set_pose_success,pick_state,place_state,pick_time_s,place_time_s,cycle_time_s,state_success,physics_success,cycle_success,final_box_x_m,final_box_y_m,final_box_z_m,final_xy_error_m,final_z_error_m,status
rl_residual_cuda_gazebo_gpu_server,11,1728207613,0.2701358234598147,0.005495984318339711,-0.21025889058796138,True,WAIT_DELIVERY,COMPLETE,9.9530173450039,9.91369486298936,19.86671220799326,True,True,True,0.27805459919242054,-0.0036656484285847355,0.1974999216710404,0.008849494141052754,7.832895959625219e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,12,184952740,0.27545026869635375,0.0006202315406830562,0.17385185077856952,True,WAIT_DELIVERY,COMPLETE,8.649467480005114,9.647000804005074,18.29646828401019,True,True,True,0.2806000830909429,0.0020143959721198035,0.19749995722490352,0.010789789278173421,4.2775096492642106e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,13,1348807791,0.27328945135009136,0.0035536328352340756,-0.11527067521397497,True,WAIT_DELIVERY,COMPLETE,9.828512911000871,9.327554713992868,19.15606762499374,True,True,True,0.2796694519185771,-0.004248736267237981,0.19749994089068568,0.010561726197654324,5.910931433206201e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,14,1241837380,0.2698441753751887,0.00811735905605695,-0.13618867196137358,True,WAIT_DELIVERY,COMPLETE,11.418750416996772,9.463221470999997,20.88197188799677,True,True,True,0.29319681561659844,-0.005773111594158018,0.19749993722875078,0.023904415329161807,6.277124922626776e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,15,429762200,0.2634651941803186,0.006136550621153954,-0.16228793525880023,True,WAIT_DELIVERY,COMPLETE,8.813614667989896,9.35002901100961,18.163643678999506,True,True,True,0.27428648063734706,-0.023750517739385822,0.19999993447852432,0.02413422899417406,0.0024999344785243127,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,16,577631610,0.27118454649418244,0.002527884709511154,0.2482447118539472,True,WAIT_DELIVERY,COMPLETE,8.708080568991136,10.131516891007777,18.839597459998913,True,True,True,0.27924832543961703,0.003323373732048605,0.19749994040570962,0.009827326004561864,5.959429039137376e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,17,578505262,0.26246489064397055,-0.0021014839915565655,0.27218583716814176,True,WAIT_DELIVERY,COMPLETE,10.242528520000633,9.3480223880033,19.590550908003934,True,True,True,0.284211331122363,0.001268140035937754,0.1999998304301388,0.014267799810068527,0.002499830430138794,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,18,1173647263,0.277172669654269,-0.0038549043308202706,-0.03394746686729355,True,WAIT_DELIVERY,COMPLETE,8.407471858998179,9.451118352997582,17.85859021199576,True,True,True,0.28190404202644787,-0.003198308042149594,0.19749991606086117,0.012326207482430082,8.393913883408821e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,19,710575573,0.2701555772228638,-0.006883222018490098,0.2156546028956124,True,WAIT_DELIVERY,COMPLETE,8.591626217996236,9.395032415006426,17.986658633002662,True,True,True,0.2752834424427135,0.005453161337901226,0.19999985738241383,0.007592873805262875,0.002499857382413817,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,20,1716200756,0.2734665580099349,0.005707082853803188,0.2554008742169123,True,WAIT_DELIVERY,COMPLETE,9.605510729990783,9.330814965011086,18.93632569500187,True,False,False,0.3010561993655968,-0.015869503520198208,0.19999991639800924,0.03487590373041647,0.0024999163980092276,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,21,146332537,0.26063098498944304,-0.004115654280091241,-0.07229829422437267,True,WAIT_DELIVERY,COMPLETE,9.559261766000418,10.301961042001494,19.861222808001912,True,True,True,0.2753135034621765,-0.019132583830693814,0.19999991070325027,0.019856713803675763,0.0024999107032502577,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,22,728736387,0.26239884359937543,0.002535471224949926,0.09858702116134954,True,WAIT_DELIVERY,COMPLETE,16.169931262993487,12.987678766003228,29.157610028996714,True,True,True,0.2847534403870709,0.0013684593994595063,0.19749995977081589,0.014816770376260249,4.022918412283083e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0010 pending=none
rl_residual_cuda_gazebo_gpu_server,23,1804479827,0.2657173851526805,-0.00724112040474395,-0.13359406403016133,True,WAIT_DELIVERY,COMPLETE,9.84307517799607,10.03619979400537,19.87927497200144,True,True,True,0.278039339574139,-0.004905221134577409,0.19749993309790886,0.00941765231718724,6.690209114479373e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,24,764383426,0.2729715198318935,0.003999507229701266,0.15232889440036523,True,WAIT_DELIVERY,COMPLETE,8.73946876100672,9.17325894899841,17.91272771000513,True,False,False,0.28486830144284886,-0.028367758497004753,0.19749997329417804,0.03202805192233531,2.6705821970507415e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,25,2040483712,0.2650931330892097,-0.005978778070322939,-0.09311325783853114,True,WAIT_DELIVERY,COMPLETE,16.195154051005375,9.79087133500434,25.986025386009715,True,True,True,0.2770496075286358,-0.0034052014318555813,0.19749990491125902,0.00782894393256902,9.508874099228848e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,26,145432813,0.26154761946040384,-0.00973668894687058,0.2548956176468438,True,WAIT_DELIVERY,PLACE_REACH,9.94692138901155,20.16022192798846,30.10714331700001,False,True,False,0.26592079881641806,-0.004361721553366242,0.20438727323396041,0.005971975988333852,0.006887273233960406,state=PLACE_REACH detail=starting place reach model=arm_delivery_residual_v2 grasped=True mode=reference_plus_residual ref_stage=2/2 track_error=0.1270 pending=none
rl_residual_cuda_gazebo_gpu_server,27,242781640,0.2683215697220589,0.006714585362243617,-0.1636132808476284,True,WAIT_DELIVERY,COMPLETE,10.573390606004978,9.371248391005793,19.94463899701077,True,True,True,0.26664569235644975,-0.005152210747649656,0.19999996209763157,0.006147898450346784,0.002499962097631564,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0000 pending=none
rl_residual_cuda_gazebo_gpu_server,28,1239252468,0.27281937575441706,-0.0034063557638260526,-0.2750944351070872,True,WAIT_DELIVERY,COMPLETE,10.122239685995737,9.368644211004721,19.490883897000458,True,True,True,0.28113184880530484,0.0035432250388511555,0.19749991424863214,0.011682144559117053,8.575136786759252e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,29,265321014,0.27954600526368883,-0.004541855207623429,0.010961328781588286,True,WAIT_DELIVERY,COMPLETE,8.284517023988883,9.432041969004786,17.71655899299367,True,True,True,0.2720948033972259,-0.00038643455941949934,0.1974999568125607,0.002130148572692267,4.318743931919222e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0011 pending=none
rl_residual_cuda_gazebo_gpu_server,30,1223384249,0.2680570101757041,0.003836412444059705,-0.020203111540340435,True,WAIT_DELIVERY,COMPLETE,11.266321989998687,9.213580622003064,20.47990261200175,True,False,False,0.28708096776997605,0.04848677541832146,0.19749995692626238,0.05140745909326488,4.307373763223765e-08,state=COMPLETE detail=pick place complete model=arm_delivery_residual_v2 grasped=False mode=reference_plus_residual ref_stage=2/2 track_error=0.0000 pending=none
