controller,trial,seed,bucket,pick_success,pick_collision,pick_truncated,pick_steps,pick_time_s,pick_reward,pick_reach_distance_m,pick_stay_error_rad,place_success,place_collision,place_truncated,place_steps,place_time_s,place_reward,place_placement_error_m,place_stay_error_rad,cycle_success,cycle_collision,cycle_steps,cycle_time_s,total_reward,inference_calls,inference_total_ms,inference_mean_ms
rl_residual,5,294791400,x_pos__y_mid,True,False,False,444,8.88,-26.446571899343212,0.0007483655375358338,0.003115900422869032,True,False,False,442,8.84,28.175200582651428,0.0,0.0038837530481525026,True,False,886,17.72,1.7286286833082158,886,158.434051,0.17881947065462755
rl_residual,6,939326391,x_neg__y_pos,True,False,False,440,8.8,-16.124537775851536,0.0009868717271105673,0.0039019815480451406,True,False,False,429,8.58,47.071501388365704,0.0,0.004309756796237739,True,False,869,17.380000000000003,30.946963612514168,869,157.07627100000002,0.1807552025316456
rl_residual,7,1131288637,x_pos__y_mid,True,False,False,451,9.02,-36.48507856881699,0.0010647477468793255,0.004092636030853337,True,False,False,441,8.82,28.745759992135305,0.0,0.0041688214087395835,True,False,892,17.84,-7.739318576681683,892,160.62721,0.18007534753363227
rl_residual,8,4259131,x_neg__y_mid,True,False,False,440,8.8,-8.882333065146241,0.0011129292638166841,0.004213007011122443,True,False,False,438,8.76,42.25913836396768,0.0,0.0039287666913248595,True,False,878,17.560000000000002,33.37680529882144,878,158.37084399999998,0.1803768154897494
rl_residual,9,1768469080,x_neg__y_pos,True,False,False,477,9.540000000000001,-67.22701685827914,0.000946211579546191,0.003657614483964257,True,False,False,470,9.4,0.8238102929304603,0.0,0.003910066831433396,True,False,947,18.94,-66.40320656534868,947,167.088885,0.17644021647307287
rl_residual,10,319935350,x_pos__y_neg,True,False,False,463,9.26,-47.572939994551916,0.0010702707618277427,0.004150724591197759,True,False,False,461,9.22,8.511168412357137,0.0,0.0039012200367672645,True,False,924,18.48,-39.06177158219478,924,163.123761,0.17654086688311688
rl_residual,11,1446422873,x_neg__y_mid,True,False,False,464,9.28,-46.30557766998206,0.0009440330659402751,0.003653314539623397,True,False,False,464,9.28,3.645404377244688,0.0,0.004084477494894555,True,False,928,18.56,-42.66017329273737,928,162.608607,0.17522479202586208
rl_residual,12,1197380708,x_mid__y_pos,True,False,False,462,9.24,-41.874177611975995,0.0008234629649496405,0.0032831833028484315,True,False,False,458,9.16,13.502732211947745,0.0,0.003605179361749942,True,False,920,18.4,-28.37144540002825,920,164.337466,0.1786276804347826
rl_residual,13,909397601,x_neg__y_neg,False,False,True,650,13.0,-195.74563905776364,0.0007605468474871024,0.0030120498686041887,True,False,False,443,8.86,35.38030698641353,0.0,0.0036592479898984753,False,False,1093,21.86,-160.3653320713501,1093,195.03887400000002,0.17844361756633123
rl_residual,14,1050608959,x_mid__y_pos,True,False,False,427,8.540000000000001,-3.077204471714424,0.0009594178260271886,0.003801991656557383,True,False,False,425,8.5,48.08336277516787,0.0,0.003867722633392197,True,False,852,17.04,45.00615830345345,852,154.30189000000001,0.1811055046948357
rl_residual,15,1789815469,x_mid__y_pos,True,False,False,451,9.02,-32.367208655305944,0.0008358674864912302,0.003330444599519376,True,False,False,445,8.9,25.82879842588048,0.0,0.003675622549980879,True,False,896,17.92,-6.538410229425466,896,158.238703,0.17660569531249998
